attack_type,is_attack,Unnamed: 0,flow_duration,down_up_ratio,fwd_header_size_min,fwd_header_size_max,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_rate,bwd_bulk_rate,Attack_type,comm_incoherent,intensity_pca_1,intensity_pca_2,intensity_pca_3,intensity_pca_4,payload_pca_1,payload_pca_2,payload_pca_3,traffic_pca_1,traffic_pca_2,tcp_semantics_incoherent,tcp_pca_1,tcp_pca_2,rate_ratio_log,proto__unknown,proto__tcp,proto__udp,service__dns,service__unknown,service__http,service__https,service__mqtt
unknown,,35,32.052456,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,5.043030192984965,-2.056111931004508,3.078571281513149,0.0704216119593487,2.515381199931114,-1.800969067748176,2.736751927843773,12.92889182550648,2.67808410099486,True,4.818512606480937,0.8836173899588424,0.1025164951243537,1,0,0,0,1,0,0,0
unknown,,46,32.074138,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,3.803750863171458,-2.38669430384903,0.2143063565196083,0.2683275322608033,2.515381199943172,-1.800969067788886,2.736751927824324,13.10775091330273,2.419339954590456,True,4.818512606480937,0.8836173899588424,0.1024589732239131,1,0,0,0,1,0,0,0
unknown,,53,31.964128,0.555556,32,40,32,40,0,2,1,3,0,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,5.03993858090556,-2.054381087551199,3.078563669207397,0.0694402930860995,2.515381199881829,-1.800969067581777,2.736751927923271,11.39488518848198,3.205278143025943,True,3.333002204968138,0.9554403902966144,0.1027494178983325,1,0,0,0,1,0,0,0
unknown,,93,32.210412,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,5.045725560680673,-2.057317539009397,3.079339619274705,0.0711587656533639,2.51538120001858,-1.800969068043478,2.736751927702691,12.06917074536822,2.456400403672212,True,4.818512606480937,0.8836173899588424,0.102102786275808,1,0,0,0,1,0,0,0
unknown,,110,31.992867,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,5.041336161680067,-2.055205569085805,3.078461683643656,0.0699001406675862,2.515381199897899,-1.800969067636034,2.736751927897349,12.3031322079216,2.573410226237602,True,4.818512606480937,0.8836173899588424,0.1026730537708148,1,0,0,0,1,0,0,0
unknown,,34025,32.062451,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,5.045120650729749,-2.05746323746172,3.078116735740458,0.0711653912633182,2.515381199936677,-1.800969067766958,2.7367519278348,11.66602837291145,3.259828790673219,True,4.818512606480937,0.8836173899588424,0.0,1,0,0,0,1,0,0,0
unknown,,135,32.07680999999999,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,25.333333,0.0,0.0,0.0,0.0,0.0,,False,3.712490709798108,-1.264784279833216,3.189676905524359,-0.3874952019979863,2.51538119994466,-1.800969067793908,2.736751927821925,13.12229221254408,2.389298412064794,True,4.818512606480937,0.8836173899588424,0.1024522595494373,1,0,0,0,1,0,0,0
unknown,,162,32.011685,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,2.206336829534944,-0.632480516980912,2.823766244508833,-1.116647760187818,2.515381199908401,-1.80096906767149,2.73675192788041,12.99738206534709,2.589933787274227,True,4.818512606480937,0.8836173899588424,0.1026230590971611,1,0,0,0,1,0,0,0
unknown,,184,32.074702,0.555556,32,40,32,40,0,2,1,0,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,5.050965864798472,-2.061320357127336,3.076645388460153,0.0732759668913007,2.515381199943484,-1.80096906778994,2.73675192782382,13.14942180478059,2.382661345650893,True,3.206681358496345,1.270069106202724,0.1024576642047778,1,0,0,0,1,0,0,0
unknown,,217,32.027916,0.555556,32,40,32,40,0,2,1,0,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,3.712315470383878,-1.264704468307906,3.189638718640161,-0.3875246645841128,2.515381199917452,-1.80096906770205,2.73675192786581,13.08068630838722,2.442755079410049,True,3.206681358496345,1.270069106202724,0.1025805448026933,1,0,0,0,1,0,0,0
unknown,,226,31.943441,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,120.0,10.333333,0.0,0.0,0.0,0.0,,False,3.548529628719929,-1.355826348758696,2.843878069019873,-0.2042325873367286,2.488690827350238,-1.816886502548898,2.757943952298553,12.68011536904618,3.083306294678733,True,4.818512606480937,0.8836173899588424,0.1028032225934311,1,0,0,0,1,0,0,0
unknown,,242,32.073166,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,5.044644740109639,-2.057107339573417,3.078342145055246,0.0709759211411319,2.515381199942632,-1.800969067787063,2.736751927825194,11.45252564291471,1.945930420222274,True,4.818512606480937,0.8836173899588424,0.1024608946105708,1,0,0,0,1,0,0,0
unknown,,34025,31.991031,0.555556,32,40,32,40,0,2,0,3,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,5.036594589696504,-2.052080666723788,3.079641988565399,0.0681872799849062,2.515381199896872,-1.800969067632567,2.736751927899006,12.08841646515914,2.502544905549317,True,4.772502437477542,-1.367299745590594,0.1026777573658424,1,0,0,0,1,0,0,0
unknown,,322,31.896227,0.555556,32,40,32,40,0,2,1,3,3,13,0,0,0,0,25.333333,10.666667,0.0,0.0,0.0,0.0,,False,5.032314857670791,-2.049615709314629,3.079811096484885,0.0667847164931811,2.515381199843759,-1.800969067453248,2.736751927984676,12.97085834175525,2.600430632376422,True,4.818512606480937,0.8836173899588424,0.102928790655583,1,0,0,0,1,0,0,0
